Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
CD69,0.000884160316510664,0.342411471972264,0.0397872142429799,IDH-NPM1,NPM1-only
CD13,0.0014092882185752,-0.42767973983851,0.0634179698358838,IDH-NPM1,NPM1-only
CD62P,0.00159883569062918,0.906513210889925,0.0719476060783133,IDH-NPM1,NPM1-only
HLA-DR,0.0029464095256918,-0.0586171783770091,0.132588428656131,IDH-NPM1,NPM1-only
CD49d,0.00307091578513478,-0.0701403803413729,0.138191210331065,IDH-NPM1,NPM1-only
CD123,0.00311861869024964,-0.0602019381896604,0.140337841061234,IDH-NPM1,NPM1-only
CD8,0.00342960385470764,-0.766578177241535,0.154332173461844,IDH-NPM1,NPM1-only
CD16,0.00498036594115255,-0.749526715386605,0.224116467351865,IDH-NPM1,NPM1-only
Fc&#949;RI&#945;,0.00996323739581081,1.00934651265056,0.448345682811486,IDH-NPM1,NPM1-only
IgG1,0.0212826992405099,0.840023803188585,0.957721465822945,IDH-NPM1,NPM1-only
CD11b,0.0590422650172436,-0.87698863706472,1,IDH-NPM1,NPM1-only
CD7,0.134772853451494,-0.715682060087652,1,IDH-NPM1,NPM1-only
CD22,0.174947088760645,0.126457964031909,1,IDH-NPM1,NPM1-only
CD33,0.189475566779037,-0.0550034797765395,1,IDH-NPM1,NPM1-only
CD38,0.207150298833172,-0.188371577826462,1,IDH-NPM1,NPM1-only
CD90,0.247293252431276,0.182559797505657,1,IDH-NPM1,NPM1-only
CD19,0.267284501463766,-0.178552598119986,1,IDH-NPM1,NPM1-only
CD303,0.307066893712415,0.261418974401204,1,IDH-NPM1,NPM1-only
CD64,0.38393780312474,-0.394885056260089,1,IDH-NPM1,NPM1-only
CD83,0.414399931096654,0.0238030166244254,1,IDH-NPM1,NPM1-only
CD71,0.458765391211955,0.631696815690251,1,IDH-NPM1,NPM1-only
CD62L,0.524775399460041,0.323411476291254,1,IDH-NPM1,NPM1-only
CD11c,0.671662231532631,0.0601807037013389,1,IDH-NPM1,NPM1-only
CD304,0.845435167483235,-0.273704624146008,1,IDH-NPM1,NPM1-only
CD34,0.887529915612637,0.410593274668125,1,IDH-NPM1,NPM1-only
CD141,0.944729256095812,0.00267295807236323,1,IDH-NPM1,NPM1-only
CD1c,0.953127791353462,0.546194486637697,1,IDH-NPM1,NPM1-only
IgG2a,NA,1.24591625871503,NA,IDH-NPM1,NPM1-only
